model,threshold,precision,recall,f1,specificity,fpr,accuracy,tn,fp,fn,tp
M3_Calibrated,0.65,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
M3_Calibrated,0.66,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
M3_Calibrated,0.67,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
M3_Calibrated,0.68,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
M3_Calibrated,0.69,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
M3_Calibrated,0.7,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
M3_Calibrated,0.71,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
M3_Calibrated,0.72,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
M3_Calibrated,0.73,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
M3_Calibrated,0.74,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
M3_Calibrated,0.75,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
M3_Calibrated,0.76,0.9852,0.7107,0.8257,0.8933,0.1067,0.7273,134,16,434,1066
M3_Calibrated,0.77,0.9852,0.7107,0.8257,0.8933,0.1067,0.7273,134,16,434,1066
M3_Calibrated,0.78,0.9852,0.7107,0.8257,0.8933,0.1067,0.7273,134,16,434,1066
M3_Calibrated,0.79,0.9852,0.7107,0.8257,0.8933,0.1067,0.7273,134,16,434,1066
M3_Calibrated,0.8,0.9852,0.7107,0.8257,0.8933,0.1067,0.7273,134,16,434,1066
M3_Calibrated,0.81,0.9852,0.7107,0.8257,0.8933,0.1067,0.7273,134,16,434,1066
M3_Calibrated,0.82,0.9852,0.7107,0.8257,0.8933,0.1067,0.7273,134,16,434,1066
M3_Calibrated,0.83,0.9852,0.7107,0.8257,0.8933,0.1067,0.7273,134,16,434,1066
M3_Calibrated,0.84,0.9852,0.7107,0.8257,0.8933,0.1067,0.7273,134,16,434,1066
M3_Calibrated,0.85,0.9852,0.7107,0.8257,0.8933,0.1067,0.7273,134,16,434,1066
M3_Calibrated,0.86,0.9852,0.7107,0.8257,0.8933,0.1067,0.7273,134,16,434,1066
M3_Calibrated,0.87,0.9852,0.7107,0.8257,0.8933,0.1067,0.7273,134,16,434,1066
M3_Calibrated,0.88,0.9852,0.7107,0.8257,0.8933,0.1067,0.7273,134,16,434,1066
M3_Calibrated,0.89,0.9931,0.6693,0.7997,0.9533,0.0467,0.6952,143,7,496,1004
M3_Calibrated,0.9,0.9931,0.6693,0.7997,0.9533,0.0467,0.6952,143,7,496,1004
M3_Calibrated,0.91,0.9931,0.6693,0.7997,0.9533,0.0467,0.6952,143,7,496,1004
M3_Calibrated,0.92,0.994,0.6607,0.7938,0.96,0.04,0.6879,144,6,509,991
