candidate_name,pr_auc,roc_auc,brier_score,threshold,accuracy,precision,recall,f1,specificity,fpr,confusion_matrix,notes
M3 Alone (Calibrated),0.97292,0.83578,0.07092,0.89,0.6952,0.9931,0.6693,0.7997,0.9533,0.0467,"{'tn': 143, 'fp': 7, 'fn': 496, 'tp': 1004}",Main M3 baseline. Threshold 0.89 selected for spec >= 0.90 on val.
"M3 Alone (Raw, tau=0.25)",0.97291,0.83573,0.17697,0.25,0.7273,0.9852,0.7107,0.8257,0.8933,0.1067,"{'tn': 134, 'fp': 16, 'fn': 434, 'tp': 1066}",Reference baseline from Phase 3 freeze at tau=0.25.
"M2 Diagnostic (Raw CNN, t=0.50)",0.94554,0.58547,0.58414,0.5,0.3679,0.9851,0.3093,0.4708,0.9533,0.0467,"{'tn': 143, 'fp': 7, 'fn': 1036, 'tp': 464}",DIAGNOSTIC ONLY: Evaluates cnn_prob against final_label=forged. Does NOT reflect visual-splice task performance.
Semantics-Naive Average (0.5 M2 + 0.5 M3_cal),0.98201,0.87113,0.18147,0.53,0.4527,0.9761,0.408,0.5755,0.9,0.1,"{'tn': 135, 'fp': 15, 'fn': 888, 'tp': 612}",DIAGNOSTIC: Blind average of P(visual_splice) and P(forged). Operating threshold 0.53 (spec >= 0.90).
M2 Transformed: g(cnn_probability),0.9451,0.59173,0.08077,0.5,0.9091,0.9091,1.0,0.9524,0.0,1.0,"{'tn': 0, 'fp': 150, 'fn': 0, 'tp': 1500}",Grouped 5-fold OOF mapping g(cnn_prob) -> estimated P(final_label=forged).
Semantics-Corrected Weighted Fusion (alpha=0.05),0.99025,0.91244,0.07056,0.89,0.6952,0.9931,0.6693,0.7997,0.9533,0.0467,"{'tn': 143, 'fp': 7, 'fn': 496, 'tp': 1004}",alpha * g(cnn) + (1-alpha) * m3_cal. Operating threshold 0.89 (spec >= 0.90).
Semantics-Naive Blend (0.5 M2 + 0.5 M3_raw),0.9883,0.9084,0.24163,0.3,0.8709,0.9894,0.8673,0.9243,0.9067,0.0933,"{'tn': 136, 'fp': 14, 'fn': 199, 'tp': 1301}",Blend of raw CNN and raw M3 probabilities. Operating threshold 0.30 (spec >= 0.90).
Exploratory Validation Stacker (Logistic Regression OOF),0.98735,0.9056,0.06113,0.87,0.8782,0.9894,0.8753,0.9289,0.9067,0.0933,"{'tn': 136, 'fp': 14, 'fn': 187, 'tp': 1313}","Exploratory 5-fold Grouped CV stacker. Weights: cnn=2.65, m3=8.92. Threshold 0.87."
