tamper_type,role,N,metric,score,tp_or_tn,fn_or_fp,ablation_id
coordinated_full_forgery,forged_attack,150,recall,0.0933,14,136,A0_RF_Baseline
coordinated_full_forgery,forged_attack,150,recall,0.0933,14,136,A0_HGB_Baseline
coordinated_full_forgery,forged_attack,150,recall,1.0,150,0,A1_RF_ForensicOnly
coordinated_full_forgery,forged_attack,150,recall,1.0,150,0,A1_HGB_ForensicOnly
coordinated_full_forgery,forged_attack,150,recall,0.1267,19,131,A2_RF_Combined
coordinated_full_forgery,forged_attack,150,recall,0.14,21,129,A2_HGB_Combined
